Model,Carbon,Mu_avg_h-1,DeltaX,Sub_used,Yx_per_mmol,Yx_per_Cmmol,DeltaX_net,YxS_net_mmol,YxS_net_Cmmol,Note
AALB,Glucose,0.5263109533972123,8.414711898409747,2.4,3.506129957670728,0.5843549929451214,7.69114466276636,3.204643609485984,0.534107268247664,OK
AALB,Acetate,0.619761660382027,12.59961742374082,2.4,5.2498405932253425,2.6249202966126712,11.876050188097434,4.948354245040598,2.474177122520299,OK
AALB,Pyruvate,0.6013645661609957,11.66401367885964,2.4,4.86000569952485,1.6200018998416168,10.940446443216253,4.558519351340106,1.519506450446702,OK
AALB,Lactate,0.6020017498055042,11.695281216484588,2.4,4.873033840201912,1.6243446134006374,10.971713980841201,4.571547492017167,1.5238491640057226,OK
AALB,Succinate,0.6377175064754013,13.574780219869222,2.4,5.6561584249455095,1.4140396062363774,12.851212984225835,5.354672076760765,1.3386680191901912,OK
AALB,Formate,0.6178232636724764,12.498233097061672,2.4,5.207597123775697,5.207597123775697,11.774665861418285,4.906110775590952,4.906110775590952,OK
AALB,Fructose,0.5257132608301514,8.393826265050407,2.4,3.49742761043767,0.5829046017396117,7.6702590294070205,3.1959412622529255,0.5326568770421543,OK
AALB,Glycerol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO carbon EX
AALB,Citrate,0.6377175064754063,13.57478021986949,2.4,5.656158424945621,0.9426930708242702,12.851212984226104,5.354672076760877,0.8924453461268128,OK
AALB,Ethanol,0.6364055798442032,13.501556068793173,2.4,5.625648361997156,2.812824180998578,12.777988833149786,5.324162013812411,2.6620810069062055,OK
AALB,Propionate,0.637717506475401,13.57478021986921,2.4,5.656158424945504,1.8853861416485016,12.851212984225823,5.354672076760759,1.7848906922535868,OK
AALB,Malate,0.601033669110664,11.647822416992025,2.4,4.853259340413344,1.213314835103336,10.924255181348638,4.551772992228599,1.1379432480571499,OK
AALB,Methanol,0.6364055798442027,13.501556068793132,0.0,0.0,0.0,12.777988833149745,0.0,0.0,NO anaerobic uptake
AALB,Formaldehyde,0.636405579844204,13.50155606879322,0.0,0.0,0.0,12.777988833149834,0.0,0.0,NO anaerobic uptake
AALB,Cellulose,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO carbon EX
AALB,Butyrate,0.638124786809576,13.597512250769968,2.4,5.665630104487487,1.4164075261218718,12.873945015126582,5.3641437563027425,1.3410359390756856,OK
AALB,Benzoate,0.6364055798442013,13.501556068793057,0.0,0.0,0.0,12.77798883314967,0.0,0.0,NO anaerobic uptake
AALB,Phenol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO carbon EX
AALB,Toluene,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO carbon EX
AALB,Ala,0.6219078644742598,12.712087945649674,2.4,5.296703310687365,1.7655677702291217,11.988520710006288,4.99521696250262,1.6650723208342069,OK
AALB,Val,0.6213038884930122,12.680229466792715,2.4,5.283428944496965,1.056685788899393,11.956662231149329,4.98194259631222,0.9963885192624441,OK
AALB,Leu,0.621512130815433,12.691114263237967,2.4,5.287964276349153,0.8813273793915256,11.96754702759458,4.986477928164409,0.8310796546940682,OK
AALB,Ile,0.621739279348468,12.703062225565175,2.4,5.292942593985489,0.8821570989975817,11.979494989921788,4.991456245800745,0.8319093743001242,OK
AALB,Pro,0.621425819852843,12.686671173231607,2.4,5.2861129888465035,1.0572225977693006,11.96310393758822,4.984626640661759,0.9969253281323517,OK
AALB,Cys,0.6223733289622562,12.736562211426495,2.4,5.306900921427706,1.7689669738092355,12.012994975783108,5.0054145732429625,1.668471524414321,OK
AALB,Met,0.6215911251225956,12.695243284389056,2.4,5.289684701828773,1.0579369403657546,11.97167604874567,4.988198353644029,0.9976396707288058,OK
AALB,Gly,0.6223468698596238,12.73545947913599,2.4,5.306441449639996,2.653220724819998,12.011892243492603,5.004955101455252,2.502477550727626,OK
AALB,Trp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO carbon EX
AALB,Phe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO carbon EX
AALB,Lys,0.6249448306235454,12.873063116600969,2.4,5.363776298583737,0.893962716430623,12.149495880957582,5.062289950398993,0.8437149917331656,OK
AALB,Arg,0.6283013721716063,13.05307735082898,2.4,5.438782229512075,0.9064637049186792,12.329510115185593,5.137295881327331,0.8562159802212218,OK
AALB,His,0.6255474202293577,12.905172050272055,2.4,5.37715502094669,0.896192503491115,12.181604814628669,5.075668672761945,0.8459447787936576,OK
AALB,Tyr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO carbon EX
AALB,Thr,0.6224388513209281,12.7401803481849,2.4,5.308408478410375,1.3271021196025938,12.016613112541513,5.006922130225631,1.2517305325564076,OK
AALB,Glu,0.6210611711144939,12.66760334956325,2.4,5.278168062318021,1.055633612463604,11.944036113919863,4.976681714133276,0.9953363428266552,OK
AALB,Gln,0.6242299671259455,12.835026122174614,2.4,5.34792755090609,1.069585510181218,12.111458886531228,5.046441202721345,1.009288240544269,OK
AALB,Asp,0.6217522110614123,12.704082906389578,2.4,5.293367877662324,1.323341969415581,11.980515670746192,4.99188152947758,1.247970382369395,OK
AALB,Asn,0.6227116188302808,12.754684032577794,2.4,5.314451680240747,1.3286129200601868,12.031116796934407,5.0129653320560035,1.2532413330140009,OK
AALB,Ser,0.6463864021445276,13.967506948875416,2.4,5.819794562031423,1.9399315206771413,13.24393971323203,5.518308213846679,1.8394360712822264,OK
