Genome,Ala,Val,Leu,Ile,Pro,Cys,Met,Gly,Trp,Phe,Lys,Arg,His,Tyr,Thr,Glu,Gln,Asp,Asn,Ser
UWLDOIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UW6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GWASMC-A42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bin142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCELSE-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAG13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GWASMC-A50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GWASMC-A41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SK01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
GWASMC-A28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBA5574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bin28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GWASMC-A13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMR_MDS_0859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCELSE-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GWASMC-A10,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
GWASMC-A31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAG-203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAT3C720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SK02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAXAC027,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
GWASMC-A36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
HKU-1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AMR_MDS_0531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMR_MDS_0653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HK-STAS-PROT-103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GWASMC-A16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HK-STAS-PROT-102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UW12-POB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
GWASMC-A19,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
ACC005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GWASMC-A29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BATAC285,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
AMR_MDS_0563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SBR_L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBA2327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GWASMC-A47,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
UW18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GWASMC-A44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SK12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GWASMC-A24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSA1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GWASMC-A22,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
bin163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GWASMC-A45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ACC012,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
GWASMC-A17,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
GWASMC-A9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
